level	problem_id	run_dir	best_speedup	success	fast1
1	1	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P001	1.4210526315789476	True	True
1	2	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P002	1.0043290043290043	True	True
1	3	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P003	1.7186629526462396	True	True
1	4	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P004	1.0022727272727272	True	True
1	5	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P005	1.0392156862745099	True	True
1	6	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P006	1.0	True	True
1	7	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P007	1.2116104868913857	True	True
1	8	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P008	1.4753246753246751	True	True
1	9	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P009	1.1685606060606062	True	True
1	10	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P010	1.5477996965098633	True	True
1	11	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P011	1.0198019801980198	True	True
1	12	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P012	1.0068493150684932	True	True
1	13	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P013	1.3976608187134505	True	True
1	14	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P014	1.8962962962962964	True	True
1	15	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P015	0.9959183673469386	True	False
1	16	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P016	1.032710280373832	True	True
1	17	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P017	1.0193548387096776	True	True
1	18	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P018	0.9956521739130435	True	False
1	19	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P019	1.0	True	True
1	20	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P020	1.0175438596491226	True	True
1	21	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P021	1.1589403973509935	True	True
1	22	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P022	1.0	True	True
1	23	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P023	1.3105022831050228	True	True
1	24	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P024	1.2941176470588234	True	True
1	25	/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P025	2.3448275862068964	True	True
